Train set size:  403
Val set size:  58
Train image size:  torch.Size([1, 160, 192, 224])
Val image size:  torch.Size([1, 160, 192, 224])
Training Starts
Iter 57 of 403 loss -0.1065, Img Sim: -0.113210, Reg: 0.006666, Jac: 0.000000, Dice: 0.000000
Iter 58 of 403 loss -0.1258, Img Sim: -0.133153, Reg: 0.007317, Jac: 0.000000, Dice: 0.000000
Iter 58 of 403 loss -0.1199, Img Sim: -0.126435, Reg: 0.006514, Jac: 0.000000, Dice: 0.000000
Iter 59 of 403 loss -0.0766, Img Sim: -0.087262, Reg: 0.010618, Jac: 0.000000, Dice: 0.000000
Iter 59 of 403 loss -0.0848, Img Sim: -0.095629, Reg: 0.010870, Jac: 0.000000, Dice: 0.000000
Iter 60 of 403 loss -0.1119, Img Sim: -0.120716, Reg: 0.008791, Jac: 0.000000, Dice: 0.000000
Iter 60 of 403 loss -0.1041, Img Sim: -0.112222, Reg: 0.008167, Jac: 0.000000, Dice: 0.000000
Iter 61 of 403 loss -0.1211, Img Sim: -0.129187, Reg: 0.008062, Jac: 0.000000, Dice: 0.000000
Iter 61 of 403 loss -0.1068, Img Sim: -0.114294, Reg: 0.007501, Jac: 0.000000, Dice: 0.000000
Iter 62 of 403 loss -0.1091, Img Sim: -0.116795, Reg: 0.007743, Jac: 0.000000, Dice: 0.000000
Iter 62 of 403 loss -0.1090, Img Sim: -0.116120, Reg: 0.007127, Jac: 0.000000, Dice: 0.000000
Iter 63 of 403 loss -0.1197, Img Sim: -0.128654, Reg: 0.008916, Jac: 0.000000, Dice: 0.000000
Iter 63 of 403 loss -0.1095, Img Sim: -0.117095, Reg: 0.007593, Jac: 0.000000, Dice: 0.000000
Iter 64 of 403 loss -0.1216, Img Sim: -0.130046, Reg: 0.008461, Jac: 0.000000, Dice: 0.000000
Iter 64 of 403 loss -0.1133, Img Sim: -0.120585, Reg: 0.007276, Jac: 0.000000, Dice: 0.000000
Iter 65 of 403 loss -0.1222, Img Sim: -0.130250, Reg: 0.008090, Jac: 0.000000, Dice: 0.000000
Iter 65 of 403 loss -0.1151, Img Sim: -0.122032, Reg: 0.006970, Jac: 0.000000, Dice: 0.000000
Iter 66 of 403 loss -0.1233, Img Sim: -0.131925, Reg: 0.008646, Jac: 0.000000, Dice: 0.000000
Iter 66 of 403 loss -0.1178, Img Sim: -0.125339, Reg: 0.007581, Jac: 0.000000, Dice: 0.000000
Iter 67 of 403 loss -0.1121, Img Sim: -0.122338, Reg: 0.010268, Jac: 0.000000, Dice: 0.000000
Iter 67 of 403 loss -0.1137, Img Sim: -0.123242, Reg: 0.009537, Jac: 0.000000, Dice: 0.000000
Iter 68 of 403 loss -0.1243, Img Sim: -0.132662, Reg: 0.008395, Jac: 0.000000, Dice: 0.000000
Iter 68 of 403 loss -0.1210, Img Sim: -0.128651, Reg: 0.007609, Jac: 0.000000, Dice: 0.000000
Iter 69 of 403 loss -0.1170, Img Sim: -0.126723, Reg: 0.009722, Jac: 0.000000, Dice: 0.000000
Iter 69 of 403 loss -0.1058, Img Sim: -0.114236, Reg: 0.008485, Jac: 0.000000, Dice: 0.000000
Iter 70 of 403 loss -0.1308, Img Sim: -0.138631, Reg: 0.007815, Jac: 0.000000, Dice: 0.000000
Iter 70 of 403 loss -0.1217, Img Sim: -0.129075, Reg: 0.007408, Jac: 0.000000, Dice: 0.000000
Iter 71 of 403 loss -0.1284, Img Sim: -0.137060, Reg: 0.008644, Jac: 0.000000, Dice: 0.000000
Iter 71 of 403 loss -0.1194, Img Sim: -0.127508, Reg: 0.008079, Jac: 0.000000, Dice: 0.000000
Iter 72 of 403 loss -0.1166, Img Sim: -0.126807, Reg: 0.010202, Jac: 0.000000, Dice: 0.000000
Iter 72 of 403 loss -0.1114, Img Sim: -0.120681, Reg: 0.009244, Jac: 0.000000, Dice: 0.000000
Iter 73 of 403 loss -0.1195, Img Sim: -0.129987, Reg: 0.010445, Jac: 0.000000, Dice: 0.000000
Iter 73 of 403 loss -0.1153, Img Sim: -0.123869, Reg: 0.008552, Jac: 0.000000, Dice: 0.000000
Iter 74 of 403 loss -0.1266, Img Sim: -0.136703, Reg: 0.010118, Jac: 0.000000, Dice: 0.000000
Iter 74 of 403 loss -0.1126, Img Sim: -0.121458, Reg: 0.008900, Jac: 0.000000, Dice: 0.000000
Iter 75 of 403 loss -0.1218, Img Sim: -0.130593, Reg: 0.008780, Jac: 0.000000, Dice: 0.000000
Iter 75 of 403 loss -0.1235, Img Sim: -0.131442, Reg: 0.007981, Jac: 0.000000, Dice: 0.000000
Iter 76 of 403 loss -0.0779, Img Sim: -0.093012, Reg: 0.015124, Jac: 0.000000, Dice: 0.000000
Iter 76 of 403 loss -0.0840, Img Sim: -0.097653, Reg: 0.013674, Jac: 0.000000, Dice: 0.000000
Iter 77 of 403 loss -0.1259, Img Sim: -0.134335, Reg: 0.008474, Jac: 0.000000, Dice: 0.000000
Iter 77 of 403 loss -0.1217, Img Sim: -0.129622, Reg: 0.007931, Jac: 0.000000, Dice: 0.000000
Iter 78 of 403 loss -0.1252, Img Sim: -0.134490, Reg: 0.009333, Jac: 0.000000, Dice: 0.000000
Iter 78 of 403 loss -0.1181, Img Sim: -0.126671, Reg: 0.008599, Jac: 0.000000, Dice: 0.000000
Iter 79 of 403 loss -0.1246, Img Sim: -0.134377, Reg: 0.009758, Jac: 0.000000, Dice: 0.000000
Iter 79 of 403 loss -0.1164, Img Sim: -0.125032, Reg: 0.008665, Jac: 0.000000, Dice: 0.000000
Iter 80 of 403 loss -0.1133, Img Sim: -0.123326, Reg: 0.010047, Jac: 0.000000, Dice: 0.000000
Iter 80 of 403 loss -0.0998, Img Sim: -0.109245, Reg: 0.009483, Jac: 0.000000, Dice: 0.000000
Iter 81 of 403 loss -0.1213, Img Sim: -0.131303, Reg: 0.009956, Jac: 0.000000, Dice: 0.000000
Iter 81 of 403 loss -0.1105, Img Sim: -0.119721, Reg: 0.009240, Jac: 0.000000, Dice: 0.000000
Iter 82 of 403 loss -0.1256, Img Sim: -0.135957, Reg: 0.010391, Jac: 0.000000, Dice: 0.000000
Iter 82 of 403 loss -0.1175, Img Sim: -0.127262, Reg: 0.009723, Jac: 0.000000, Dice: 0.000000
Iter 83 of 403 loss -0.1256, Img Sim: -0.135224, Reg: 0.009650, Jac: 0.000000, Dice: 0.000000
Iter 83 of 403 loss -0.1149, Img Sim: -0.123138, Reg: 0.008218, Jac: 0.000000, Dice: 0.000000
Iter 84 of 403 loss -0.1251, Img Sim: -0.134954, Reg: 0.009901, Jac: 0.000000, Dice: 0.000000
Iter 84 of 403 loss -0.1159, Img Sim: -0.124703, Reg: 0.008790, Jac: 0.000000, Dice: 0.000000
Iter 85 of 403 loss -0.1320, Img Sim: -0.141498, Reg: 0.009491, Jac: 0.000000, Dice: 0.000000
Iter 85 of 403 loss -0.1249, Img Sim: -0.133572, Reg: 0.008707, Jac: 0.000000, Dice: 0.000000
Iter 86 of 403 loss -0.1332, Img Sim: -0.142706, Reg: 0.009484, Jac: 0.000000, Dice: 0.000000
Iter 86 of 403 loss -0.1277, Img Sim: -0.136000, Reg: 0.008267, Jac: 0.000000, Dice: 0.000000
Iter 87 of 403 loss -0.1140, Img Sim: -0.125653, Reg: 0.011686, Jac: 0.000000, Dice: 0.000000
Iter 87 of 403 loss -0.1041, Img Sim: -0.113519, Reg: 0.009417, Jac: 0.000000, Dice: 0.000000
Iter 88 of 403 loss -0.1224, Img Sim: -0.133518, Reg: 0.011111, Jac: 0.000000, Dice: 0.000000
Iter 88 of 403 loss -0.1170, Img Sim: -0.126228, Reg: 0.009190, Jac: 0.000000, Dice: 0.000000
Iter 89 of 403 loss -0.1269, Img Sim: -0.137619, Reg: 0.010738, Jac: 0.000000, Dice: 0.000000
Iter 89 of 403 loss -0.1233, Img Sim: -0.132372, Reg: 0.009083, Jac: 0.000000, Dice: 0.000000
Iter 90 of 403 loss -0.1117, Img Sim: -0.121887, Reg: 0.010197, Jac: 0.000000, Dice: 0.000000
Iter 90 of 403 loss -0.1101, Img Sim: -0.118914, Reg: 0.008785, Jac: 0.000000, Dice: 0.000000
Iter 91 of 403 loss -0.1252, Img Sim: -0.134890, Reg: 0.009678, Jac: 0.000000, Dice: 0.000000
Iter 91 of 403 loss -0.1174, Img Sim: -0.125245, Reg: 0.007865, Jac: 0.000000, Dice: 0.000000
Iter 92 of 403 loss -0.1273, Img Sim: -0.137844, Reg: 0.010542, Jac: 0.000000, Dice: 0.000000
Iter 92 of 403 loss -0.1216, Img Sim: -0.130662, Reg: 0.009029, Jac: 0.000000, Dice: 0.000000
Iter 93 of 403 loss -0.1290, Img Sim: -0.139815, Reg: 0.010773, Jac: 0.000000, Dice: 0.000000
Iter 93 of 403 loss -0.1202, Img Sim: -0.129722, Reg: 0.009559, Jac: 0.000000, Dice: 0.000000
Iter 94 of 403 loss -0.1343, Img Sim: -0.144392, Reg: 0.010128, Jac: 0.000000, Dice: 0.000000
Iter 94 of 403 loss -0.1288, Img Sim: -0.137816, Reg: 0.008971, Jac: 0.000000, Dice: 0.000000
Iter 95 of 403 loss -0.1132, Img Sim: -0.124944, Reg: 0.011765, Jac: 0.000000, Dice: 0.000000
Iter 95 of 403 loss -0.1146, Img Sim: -0.124379, Reg: 0.009740, Jac: 0.000000, Dice: 0.000000
Iter 96 of 403 loss -0.1338, Img Sim: -0.145265, Reg: 0.011457, Jac: 0.000000, Dice: 0.000000
Iter 96 of 403 loss -0.1218, Img Sim: -0.131141, Reg: 0.009350, Jac: 0.000000, Dice: 0.000000
Iter 97 of 403 loss -0.1216, Img Sim: -0.132862, Reg: 0.011246, Jac: 0.000000, Dice: 0.000000
Iter 97 of 403 loss -0.1129, Img Sim: -0.122576, Reg: 0.009660, Jac: 0.000000, Dice: 0.000000
Iter 98 of 403 loss -0.1186, Img Sim: -0.130525, Reg: 0.011930, Jac: 0.000000, Dice: 0.000000
Iter 98 of 403 loss -0.1115, Img Sim: -0.121433, Reg: 0.009947, Jac: 0.000000, Dice: 0.000000
Iter 99 of 403 loss -0.1270, Img Sim: -0.137782, Reg: 0.010774, Jac: 0.000000, Dice: 0.000000
Iter 99 of 403 loss -0.1195, Img Sim: -0.129339, Reg: 0.009861, Jac: 0.000000, Dice: 0.000000
Iter 100 of 403 loss -0.1244, Img Sim: -0.136611, Reg: 0.012206, Jac: 0.000000, Dice: 0.000000
Iter 100 of 403 loss -0.1118, Img Sim: -0.122066, Reg: 0.010296, Jac: 0.000000, Dice: 0.000000
Iter 101 of 403 loss -0.1311, Img Sim: -0.142301, Reg: 0.011174, Jac: 0.000000, Dice: 0.000000
Iter 101 of 403 loss -0.1194, Img Sim: -0.128984, Reg: 0.009631, Jac: 0.000000, Dice: 0.000000
Iter 102 of 403 loss -0.1197, Img Sim: -0.132622, Reg: 0.012959, Jac: 0.000000, Dice: 0.000000
